"FIELD NAME";"DESCRIPTION"
"CASE_NUMBER";"Unique identifier assigned to each application submitted for processing to the Chicago National Processing Center."
"CASE_STATUS";"Status associated with the last significant event or decision. Valid values include “Certified,” “Certified-Withdrawn,” Denied,” and “Withdrawn”."
"CASE_SUBMITTED";"Date and time the application was submitted."
"DECISION_DATE";"Date on which the last significant event or decision was recorded by the Chicago National Processing Center."
"VISA_CLASS";"Indicates the type of temporary application submitted for processing. R = H-1B; A = E-3 Australian; C = H-1B1 Chile; S = H-1B1 Singapore.  Also referred to as “Program” in prior years."
"EMPLOYMENT_START_DATE";"Beginning date of employment."
"EMPLOYMENT_END_DATE";"Ending date of employment."
"EMPLOYER_NAME";"Name of employer submitting labor condition application."
"EMPLOYER_BUSINESS_DBA";"Trade Name or dba name of employer submitting labor condition application, if applicable."
"EMPLOYER_ADDRESS";"Contact information of the Employer requesting temporary labor certification."
"EMPLOYER_CITY";""
"EMPLOYER_STATE";""
"EMPLOYER_POSTAL_CODE";""
"EMPLOYER_COUNTRY";""
"EMPLOYER_PROVINCE";""
"EMPLOYER_PHONE";""
"EMPLOYER_PHONE_EXT";""
"AGENT_REPRESENTING_EMPLOYER";"Y = Employer is represented by an Agent or Attorney; N = Employer is not represented by an Agent or Attorney."
"AGENT_ATTORNEY_NAME";"Name of Agent or Attorney filing an H-1B application on behalf of the employer."
